Hatysa,2.8,83.858258,-5.909901
Helvetios,5.49,344.366583,20.768831
Homam,3.41,340.365503,10.831363
Iklil,3.87,239.221151,-29.214073
Intercrus,5.41,142.166618,45.601482
Izar,2.35,221.246763,27.074207
Jabbah,4.5,242.998894,-19.460708
Jishui,4.89,114.791387,34.584346
Kaffaljidhma,3.56,40.825163,3.235816
Kang,4.18,213.223939,-10.273704
Kaus Australis,1.79,276.042993,-34.384616
Kaus Borealis,2.82,276.992668,-25.421701
Kaus Media,2.72,275.248508,-29.828104
Keid,4.43,63.817999,-7.652872
Khambalia,4.52,214.777468,-13.371096
Kitalpha,3.92,318.955949,5.247865
Kochab,2.07,222.676357,74.155504
Kornephoros,2.78,247.554998,21.489611
Kurhah,4.26,330.947724,64.627971
Lesath,2.7,262.690979,-37.295813
Libertas,4.71,298.562008,8.461453
Lich,-,195.012701,12.682417
Lilii Borea,4.52,41.977256,29.247115
Maasym,4.41,262.684626,26.110645
Mahasim,2.65,89.930292,37.212585
Maia,3.87,56.456695,24.367751
Marfik,3.82,247.728453,1.983888
Markab,2.49,346.190223,15.205267
Markeb,2.47,140.528407,-55.010667
Marsic,5,242.018857,17.04698
Matar,2.93,340.750579,30.221244
Mebsuta,3.06,100.983026,25.131127
Megrez,3.32,183.856503,57.032615
Meissa,3.39,83.784486,9.934156
Mekbuda,4.01,106.027215,20.570295
Meleph,6.29,130.112544,19.544809
Menkalinan,1.9,89.882179,44.947433
Menkar,2.54,45.569885,4.089737
Menkent,2.06,211.670617,-36.369958
Menkib,3.98,59.741253,35.791032
Merak,2.34,165.460319,56.382426
Merga,5.76,222.327791,46.116206
Meridiana,4.11,287.368087,-37.904473
Merope,4.14,56.581552,23.948348
Mesarthim,4.75,28.38256,19.293852
Miaplacidus,1.67,138.299906,-69.717208
Mimosa,1.25,191.930263,-59.688764
Minchir,4.45,129.689323,3.341436
Minelauva,3.39,193.900869,3.39747
Mintaka,2.25,83.001667,-0.299095
Mira,6.47,34.836617,-2.97764
Mirach,2.07,17.433013,35.620557
Miram,3.77,42.674207,55.895497
Mirfak,1.79,51.080709,49.861179
Mirzam,1.98,95.674939,-17.955919
Misam,3.79,47.374048,44.857541
Mizar,2.23,200.981429,54.925362
Mothallah,3.42,28.27045,29.578826
Muliphein,4.11,105.939554,-15.633286
Muphrid,2.68,208.671161,18.397717
Muscida,3.35,127.566128,60.71817
Musica,5.48,314.608058,10.839286
Naos,2.21,120.896031,-40.003148
Nashira,3.69,325.022735,-16.662308
Nekkar,3.49,225.48651,40.390567
Nembus,3.59,24.498154,48.628214
Nihal,2.81,82.061346,-20.759441
Nunki,2.05,283.81636,-26.296724
Nusakan,3.66,231.957211,29.105699
Ogma,8.16,247.623409,38.347311
Peacock,1.94,306.411904,-56.73509
Phact,2.65,84.912254,-34.07411
Phecda,2.41,178.457679,53.694758
Pherkad,3,230.18215,71.834017
Pipirima,3.56,253.083939,-38.017535
Pleione,5.05,57.296738,24.13671
Polaris Australis,5.45,317.195164,-88.956499
Polaris,1.97,37.954561,89.264109
Polis,3.84,273.44087,-21.058832
Pollux,1.16,116.328958,28.026199
Porrima,2.74,190.415181,-1.449373
Praecipua,3.79,163.327937,34.214872
Prima Hyadum,3.65,64.948349,15.627643
Procyon,0.4,114.825493,5.224993
Propus,3.31,93.719405,22.506794
Proxima Centauri,11.01,217.428953,-62.679484
Ran,3.73,53.232687,-9.458259
Rasalas,3.88,148.190903,26.006953
Rasalgethi,3.37,258.66191,14.390333
Rasalhague,2.08,263.733627,12.560035
Rastaban,2.79,262.608174,52.301389
Regulus,1.36,152.092962,11.967209
Revati,5.21,18.432864,7.575354
Rigel,0.18,78.634467,-8.201638
Rigil Kentaurus,-0.01,219.902066,-60.833975
Rotanev,3.64,309.387235,14.595115
Ruchbah,2.66,21.453964,60.235284
Rukbat,3.96,290.97157,-40.61594
Sabik,2.43,257.594529,-15.724907
Saclateni,3.69,75.619531,41.075839
Sadachbia,3.86,335.414064,-1.387334
Sadalbari,3.51,342.500809,24.601577
Sadalmelik,2.95,331.445983,-0.319849
Sadalsuud,2.9,322.889715,-5.571176
Sadr,2.23,305.557091,40.256679
Saiph,2.07,86.93912,-9.669605
Salm,4.58,350.159341,23.740336
Sargas,1.86,264.329711,-42.997824
Sarin,3.12,258.757963,24.839204
Sceptrum,4.02,69.545104,-14.304017
Scheat,2.44,345.943572,28.082785
Schedar,2.24,10.126838,56.537331
Secunda Hyadum,3.78,65.733719,17.542514
Segin,3.35,28.598857,63.670101
Seginus,3.04,218.019466,38.308251
Sham,4.39,295.024133,18.013891
Shaula,1.62,263.402167,-37.103824
Sheliak,3.52,282.519978,33.362668
Sheratan,2.64,28.660046,20.808031
Sirius,-1.44,101.287155,-16.716116
Situla,5.04,339.439084,-4.228056
Skat,3.27,343.662556,-15.820827
Spica,0.98,201.298247,-11.161319
Sualocin,3.77,309.90953,15.912073
Subra,3.52,145.28764,9.892308
Suhail,2.23,136.998993,-43.432589
Sulafat,3.25,284.735928,32.689557
Syrma,4.07,214.003623,-6.000545
Tabit,3.19,72.460045,6.961275
Taiyangshou,3.69,176.512559,47.779406
Taiyi,5.23,193.868951,65.438474
Talitha,3.12,134.80189,48.041826
Tania Australis,3.06,155.58225,41.499519
Tania Borealis,3.45,154.274095,42.914356
Tarazed,2.72,296.564915,10.613262
Taygeta,4.3,56.302063,24.46727
Tegmine,4.67,123.05316,17.647821
Tejat,2.87,95.740112,22.513583
Terebellum,4.7,298.959838,-26.299534
Theemin,3.81,68.88766,-30.562341
Thuban,3.67,211.097291,64.375851
Tiaki,2.12,340.666876,-46.884576
Tianguan,2.97,84.411189,21.142544
Tianyi,5.43,191.893099,66.790305
Titawin,4.09,24.199342,41.405457
Tonatiuh,5.8,181.312995,76.905735
Torcular,4.29,26.348466,9.157737
Tureis,2.83,121.886037,-24.304324
Unukalhai,2.63,236.066976,6.425629
Unurgunite,3.49,105.429782,-27.93483
Vega,0.03,279.234735,38.783689
Veritate,5.22,352.822556,39.236197
Vindemiatrix,2.85,195.544157,10.959149
Wasat,3.5,110.030749,21.982316
Wazn,3.12,87.739968,-35.76831
Wezen,1.83,107.09785,-26.3932
Xamidimura,3,252.96763,-38.04738
Xuange,4.18,214.095912,46.088306
Yed Posterior,3.23,244.580374,-4.69251
Yed Prior,2.73,243.586411,-3.694323
Yildun,4.35,263.054126,86.586462
Zaniah,3.89,184.976476,-0.666793
Zaurak,2.97,59.50736,-13.508516
Zavijava,3.59,177.673826,1.764717
Zhang,4.11,147.869558,-14.846603
Zibal,4.8,48.958436,-8.819731
Zosma,2.56,168.527089,20.523718
Zubenelgenubi,2.75,222.719638,-16.041777
Zubenelhakrabi,3.91,233.881578,-14.789536
Zubeneschamali,2.61,229.251724,-9.382914
Larawag,2.29,252.540878,-34.293232
Ginan,3.59,185.340039,-60.401147
Wurren,4.02,17.096173,-55.245758
